idx;id;sci_name;com_name;class;order
3076;10337;Molothrus rufoaxillaris;Screaming Cowbird;Aves;Passeriformes
3077;10341;Momotus lessonii;Lesson's Motmot;Aves;Coraciiformes
3078;10342;Momotus mexicanus;Russet-crowned Motmot;Aves;Coraciiformes
3079;10343;Momotus momota;Amazonian Motmot;Aves;Coraciiformes
3080;10356;Monasa atra;Black Nunbird;Aves;Piciformes
3081;10358;Monasa morphoeus;White-fronted Nunbird;Aves;Piciformes
3082;10359;Monasa nigrifrons;Black-fronted Nunbird;Aves;Piciformes
3083;10397;Monticola cinclorhyncha;Blue-capped Rock Thrush;Aves;Passeriformes
3084;10399;Monticola gularis;White-throated Rock Thrush;Aves;Passeriformes
3085;10401;Monticola rufiventris;Chestnut-bellied Rock Thrush;Aves;Passeriformes
3086;10402;Monticola rufocinereus;Little Rock Thrush;Aves;Passeriformes
3087;10404;Monticola saxatilis;Common Rock Thrush;Aves;Passeriformes
3088;10405;Monticola semirufus;White-winged Cliff Chat;Aves;Passeriformes
3089;10407;Monticola solitarius;Blue Rock Thrush;Aves;Passeriformes
3090;10408;Montifringilla adamsi;Black-winged Snowfinch;Aves;Passeriformes
3091;10409;Pyrgilauda blanfordi;Blanford's Snowfinch;Aves;Passeriformes
3092;10411;Montifringilla henrici;Tibetan Snowfinch;Aves;Passeriformes
3093;10412;Montifringilla nivalis;White-winged Snowfinch;Aves;Passeriformes
3094;10413;Onychostruthus taczanowskii;White-rumped Snowfinch;Aves;Passeriformes
3095;10420;Morococcyx erythropygus;Lesser Ground Cuckoo;Aves;Cuculiformes
3096;10424;Morus bassanus;Northern Gannet;Aves;Suliformes
3097;10425;Morus capensis;Cape Gannet;Aves;Suliformes
3098;10426;Morus serrator;Australasian Gannet;Aves;Suliformes
3099;10427;Motacilla aguimp;African Pied Wagtail;Aves;Passeriformes
3100;10428;Motacilla alba;White Wagtail;Aves;Passeriformes
3101;10429;Motacilla capensis;Cape Wagtail;Aves;Passeriformes
3102;10430;Motacilla cinerea;Grey Wagtail;Aves;Passeriformes
3103;10431;Motacilla citreola;Citrine Wagtail;Aves;Passeriformes
3104;10432;Motacilla clara;Mountain Wagtail;Aves;Passeriformes
3105;10433;Motacilla flava;Western Yellow Wagtail;Aves;Passeriformes
3106;10435;Motacilla grandis;Japanese Wagtail;Aves;Passeriformes
3107;10436;Motacilla maderaspatensis;White-browed Wagtail;Aves;Passeriformes
3108;10437;Motacilla samveasnae;Mekong Wagtail;Aves;Passeriformes
3109;10438;Motacilla tschutschensis;Eastern Yellow Wagtail;Aves;Passeriformes
3110;10449;Muntiacus muntjak;Red muntjac;Mammalia;Artiodactyla
3111;10451;Muntiacus reevesi;Muntiacus reevesi;Mammalia;Artiodactyla
3112;10456;Muscardinus avellanarius;Muscardinus avellanarius;Mammalia;Rodentia
3113;10457;Muscicapa aquatica;Swamp Flycatcher;Aves;Passeriformes
3114;10459;Muscicapa cassini;Cassin's Flycatcher;Aves;Passeriformes
3115;10460;Muscicapa dauurica;Asian Brown Flycatcher;Aves;Passeriformes
3116;10462;Muscicapa ferruginea;Ferruginous Flycatcher;Aves;Passeriformes
3117;10463;Muscicapa gambagae;Gambaga Flycatcher;Aves;Passeriformes
3118;10464;Muscicapa griseisticta;Grey-streaked Flycatcher;Aves;Passeriformes
3119;10466;Muscicapa muttui;Brown-breasted Flycatcher;Aves;Passeriformes
3120;10470;Muscicapa sibirica;Dark-sided Flycatcher;Aves;Passeriformes
3121;10472;Muscicapa striata;Spotted Flycatcher;Aves;Passeriformes
3122;10480;Muscisaxicola albilora;White-browed Ground Tyrant;Aves;Passeriformes
3123;10482;Muscisaxicola capistratus;Cinnamon-bellied Ground Tyrant;Aves;Passeriformes
3124;10484;Muscisaxicola flavinucha;Ochre-naped Ground Tyrant;Aves;Passeriformes
3125;10488;Muscisaxicola maclovianus;Dark-faced Ground Tyrant;Aves;Passeriformes
3126;10489;Muscisaxicola maculirostris;Spot-billed Ground Tyrant;Aves;Passeriformes
3127;10490;Muscisaxicola rufivertex;Rufous-naped Ground Tyrant;Aves;Passeriformes
3128;10491;Tauraco rossae;Ross's Turaco;Aves;Musophagiformes
3129;10493;Tauraco violaceus;Violet Turaco;Aves;Musophagiformes
3130;10503;Mustelirallus albicollis;Ash-throated Crake;Aves;Gruiformes
3131;10514;Myadestes occidentalis;Brown-backed Solitaire;Aves;Passeriformes
3132;10517;Myadestes townsendi;Townsend's Solitaire;Aves;Passeriformes
3133;10520;Mycerobas affinis;Collared Grosbeak;Aves;Passeriformes
3134;10521;Mycerobas carnipes;White-winged Grosbeak;Aves;Passeriformes
3135;10522;Mycerobas icterioides;Black-and-yellow Grosbeak;Aves;Passeriformes
3136;10523;Mycerobas melanozanthos;Spot-winged Grosbeak;Aves;Passeriformes
3137;10524;Mycteria americana;Wood Stork;Aves;Ciconiiformes
3138;10527;Mycteria leucocephala;Painted Stork;Aves;Ciconiiformes
3139;10536;Myiagra alecto;Shining Flycatcher;Aves;Passeriformes
3140;10549;Myiagra inquieta;Restless Flycatcher;Aves;Passeriformes
