idx;id;sci_name;com_name;class;order
2328;4030;Clytorhynchus pachycephaloides;Southern Shrikebill;Aves;Passeriformes
2329;4031;Clytorhynchus vitiensis;Fiji Shrikebill;Aves;Passeriformes
2330;4033;Cnemarchus erythropygius;Red-rumped Bush Tyrant;Aves;Passeriformes
2331;4034;Cnemarchus rufipennis;Rufous-webbed Bush Tyrant;Aves;Passeriformes
2332;4035;Cnemathraupis aureodorsalis;Golden-backed Mountain Tanager;Aves;Passeriformes
2333;4036;Cnemathraupis eximia;Black-chested Mountain Tanager;Aves;Passeriformes
2334;4037;Cnemophilus loriae;Loria's Satinbird;Aves;Passeriformes
2335;4038;Cnemophilus macgregorii;Crested Satinbird;Aves;Passeriformes
2336;4039;Cnemoscopus rubrirostris;Grey-hooded Bush Tanager;Aves;Passeriformes
2337;4040;Cnemotriccus fuscatus;Fuscous Flycatcher;Aves;Passeriformes
2338;4042;Cnipodectes subbrunneus;Brownish Twistwing;Aves;Passeriformes
2339;4043;Cnipodectes superrufus;Rufous Twistwing;Aves;Passeriformes
2340;4046;Coccopygia melanotis;Swee Waxbill;Aves;Passeriformes
2341;4047;Coccopygia quartinia;Yellow-bellied Waxbill;Aves;Passeriformes
2342;4048;Coccothraustes abeillei;Hooded Grosbeak;Aves;Passeriformes
2343;4050;Coccothraustes coccothraustes;Hawfinch;Aves;Passeriformes
2344;4051;Coccothraustes vespertinus;Evening Grosbeak;Aves;Passeriformes
2345;4053;Coccycua cinerea;Ash-colored Cuckoo;Aves;Cuculiformes
2346;4054;Coccycua minuta;Little Cuckoo;Aves;Cuculiformes
2347;4055;Coccycua pumila;Dwarf Cuckoo;Aves;Cuculiformes
2348;4056;Coccyzus americanus;Yellow-billed Cuckoo;Aves;Cuculiformes
2349;4057;Coccyzus erythropthalmus;Black-billed Cuckoo;Aves;Cuculiformes
2350;4058;Coccyzus euleri;Pearly-breasted Cuckoo;Aves;Cuculiformes
2351;4060;Coccyzus lansbergi;Grey-capped Cuckoo;Aves;Cuculiformes
2352;4061;Coccyzus longirostris;Hispaniolan Lizard Cuckoo;Aves;Cuculiformes
2353;4062;Coccyzus melacoryphus;Dark-billed Cuckoo;Aves;Cuculiformes
